date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,kosdaq_open,kosdaq_high,kosdaq_low,kosdaq_close,kosdaq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,vkospi_open,vkospi_high,vkospi_low,vkospi_close
2026-08-03,6358.27,6393,6223.29,6257.45,272959301,709.99,757.6,705.07,737.35,431221416,16.03,16.3,15.54,15.86,0,80.46,81.05,80.36,80.78
2026-08-04,6351.38,6389.4,6080.25,6358.95,312996910,748.19,780.85,748.19,780.72,477608469,15.76,16.65,15.51,16.5,0,82.63,82.63,81.88,82.05
2026-08-05,6603.48,6674.66,6540.27,6598.26,338499583,794.93,803.49,783.32,799.59,587546129,16.15,18.43,15.48,15.81,0,78.75,79.03,78.51,78.55
2026-08-06,6478.75,6550.94,6238.32,6296.38,284501018,797.44,813.54,779.08,801.67,554381603,15.83,16.03,15.11,15.15,0,76.96,77.3,76.67,77.17
2026-08-07,6365.07,6415.6,6158.73,6258.77,299376519,807.62,814.8,776.6,798.81,509893900,15.3,15.36,14.77,14.9,0,76.48,76.48,75.58,75.59
2026-08-10,6306.33,6394.06,6232.45,6299.66,293734195,807.66,855.38,807.66,854.47,551909757,15.4,15.72,15.1,15.46,0,71.12,71.12,69.53,69.55
2026-08-11,6240.06,6405.81,6213.78,6345.53,333481429,848.59,875.16,840.45,857.84,533125745,15.42,15.61,15.23,15.28,0,64.96,64.97,61.67,61.68
2026-08-12,6438.5,6668.43,6413.5,6579.04,360651215,854.85,860.76,839.86,858.91,561958296,15.28,15.42,14.39,14.55,0,57.35,57.36,55.3,56.48
2026-08-13,6773.92,6895.63,6748.13,6813.34,418947285,863.15,870.96,853.09,861.37,685613456,14.68,14.8,14.39,14.63,0,54.56,55.82,54.53,55.28
2026-08-14,6995.67,7010.86,6848.43,6977.94,332941644,868.07,879.29,845.41,864.65,698635075,14.64,14.72,14.18,14.25,0,55.38,56.27,55,55.31
