date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume,kospi_ret,kosdaq_ret,vkospi_change,log_ret,realized_vol,parkinson_vol,realized_vol_lag1,realized_vol_lag2,realized_vol_lag3,log_ret_lag1,vkospi_change_lag1,intraday_current,intraday_future,overnight_current,overnight_future,target_vol_pk
2026-06-30,-0.295180472945,-0.156279478908,33,0,-0.08105530034,0.306758948088,30,0,35800,35900,34550,34550,1238767,17.54,17.75,16.27,16.45,0.0,0.00970067111132098,-0.004780191489721528,-0.03292737440505095,-0.03693601683195044,0.046510869539776775,0.023019357989775262,0.05550683847279349,0.030010072181253466,0.030617249498533238,0.07830085041375778,0.044615888798338846,-0.295180472945,-0.156279478908,-0.294145760807,0.0367144307384,0.028968850999700972
2026-07-01,-0.200202585559,0.240708549096,13,0,-0.294145760807,0.0367144307384,19,0,35350,36100,34400,34800,1541412,17.11,17.3,15.97,16.59,0.0,-0.020628995485669436,0.014272565134896647,-0.056243242620263256,0.00720983656674975,0.04625578237195003,0.028968850999700972,0.046510869539776775,0.05550683847279349,0.030010072181253466,-0.03693601683195044,-0.03292737440505095,-0.200202585559,0.240708549096,0.274613929645,0.243704666636,0.04368085919878392
2026-07-02,-0.0530965105131,0.133116516041,32,0,0.274613929645,0.243704666636,11,0,34800,36350,33800,35250,2227923,17.05,17.21,15.79,16.15,0.0,-0.08221033034072892,-0.06976944514477323,-0.025818203538607795,0.012848142477849059,0.0464013040778389,0.04368085919878392,0.04625578237195003,0.046510869539776775,0.05550683847279349,0.00720983656674975,-0.056243242620263256,-0.0530965105131,0.133116516041,0.0131842338462,0.239258185377,0.04113867188072357
2026-07-03,-0.315826451203,-0.0117062452977,30,0,0.0131842338462,0.239258185377,13,0,35950,36250,33850,35500,1867705,,,,,,0.05596757495887649,0.0019479814589229772,0.03278608967581722,0.007067167223092353,0.04130411119967465,0.04113867188072357,0.0464013040778389,0.04625578237195003,0.046510869539776775,0.012848142477849059,-0.025818203538607795,-0.315826451203,-0.0117062452977,-0.3415897149,-0.133844878446,0.024481639713452217
2026-07-06,-0.0733351585103,0.121448958115,34,0,-0.3415897149,-0.133844878446,41,0,35500,36300,34850,35600,1289188,16.4,16.5,15.56,15.57,0.0,-0.004586223246277443,-0.024880617503237324,-0.02759187242244934,0.0028129413766146577,0.020182846287285894,0.024481639713452217,0.04130411119967465,0.0464013040778389,0.04625578237195003,0.007067167223092353,0.03278608967581722,-0.0733351585103,0.121448958115,-0.0940834194259,0.115626428031,0.02646824556434715
2026-07-07,-0.323899669294,0.0936364527204,36,0,-0.0940834194259,0.115626428031,27,0,35600,35950,34400,35400,1704255,15.87,16.64,15.53,16.13,0.0,-0.05030715072589894,-0.01887680433503661,-0.013561494425648425,-0.005633817718256019,0.00686502722049681,0.02646824556434715,0.020182846287285894,0.04130411119967465,0.0464013040778389,0.0028129413766146577,-0.02759187242244934,-0.323899669294,0.0936364527204,-0.244742470214,-0.0437661789526,0.04418520010482845
2026-07-08,-0.258547010445,-0.103793576979,29,0,-0.244742470214,-0.0437661789526,19,0,35450,35950,33400,34650,2205415,16.55,18.91,16.35,16.9,0.0,-0.054971532249633415,-0.05722281374782947,0.025463672010103917,-0.021414094503816584,0.013318255402818002,0.04418520010482845,0.00686502722049681,0.020182846287285894,0.04130411119967465,-0.005633817718256019,-0.013561494425648425,-0.258547010445,-0.103793576979,-0.258620151124,0.0216038717206,0.029814999414952362
2026-07-09,-0.136390586368,-0.0508909442653,34,0,-0.258620151124,0.0216038717206,33,0,34700,35100,33400,33650,1897906,16.58,17.27,15.76,15.84,0.0,0.006206902247972065,0.011399743464727288,-0.027917374240184506,-0.029284669545175373,0.015605978461332083,0.029814999414952362,0.013318255402818002,0.00686502722049681,0.020182846287285894,-0.021414094503816584,0.025463672010103917,-0.136390586368,-0.0508909442653,-0.230572499136,-0.0134758830779,0.03749400767591434
2026-07-10,-0.039695359375,0.188183232174,20,0,-0.230572499136,-0.0134758830779,50,0,34150,36350,34150,35350,2167200,16.06,16.16,14.96,15.03,0.0,0.02492434943160137,0.05325421686935609,-0.08965237358346119,0.04928533625184499,0.030746001196126256,0.03749400767591434,0.015605978461332083,0.013318255402818002,0.00686502722049681,-0.029284669545175373,-0.027917374240184506,-0.039695359375,0.188183232174,-0.288432485919,-0.0800237004389,0.028096576039686426
2026-07-13,-0.389415681925,-0.170193974805,26,0,-0.288432485919,-0.0800237004389,27,0,35400,36100,34450,34750,1677515,16.32,17.41,16.03,17.16,0.0,-0.09374865299764747,-0.046526270619333565,0.0641785715266296,-0.017118820331780655,0.03143721459979468,0.028096576039686426,0.030746001196126256,0.015605978461332083,0.013318255402818002,0.04928533625184499,-0.08965237358346119,-0.389415681925,-0.170193974805,-0.182176099925,0.128149803276,0.023588708533885762
2026-07-14,-0.262030519483,-0.164550397234,29,0,-0.182176099925,0.128149803276,24,0,35050,35050,33700,33850,2147915,17.21,17.56,16.15,16.5,0.0,0.007304024930445705,-0.019427897676222765,0.007650963801356348,-0.026240572652517155,0.032885788153031545,0.023588708533885762,0.03143721459979468,0.030746001196126256,0.015605978461332083,-0.017118820331780655,0.0641785715266296,-0.262030519483,-0.164550397234,-0.212004596143,-0.0340474762727,0.023855212271386293
2026-07-15,-0.121997316244,0.105118800019,38,0,-0.212004596143,-0.0340474762727,35,0,34600,35950,34550,34900,1890167,16.2,16.57,15.64,15.67,0.0,0.060491212223520927,0.05635520806302631,0.021442857389402093,0.03054782985009743,0.03602461370031166,0.023855212271386293,0.032885788153031545,0.03143721459979468,0.030746001196126256,-0.026240572652517155,0.007650963801356348,-0.121997316244,0.105118800019,-0.136439455648,-0.00125655089136,0.0391439021322784
2026-07-16,-0.190046663032,0.117895688709,16,0,-0.136439455648,-0.00125655089136,25,0,34700,36450,34150,35900,2680070,15.82,17.23,15.77,16.73,0.0,-0.06578900350999517,-0.04637936668038584,0.015613571104422191,0.028250466285851653,0.032802741321372696,0.0391439021322784,0.03602461370031166,0.032885788153031545,0.03143721459979468,0.03054782985009743,0.021442857389402093,-0.190046663032,0.117895688709,-0.220325490156,-0.17062643404,0.03150369925308771
2026-07-22,-0.1400969748,-0.030624106081,10,0,-0.176339908087,0.0472458164158,19,0,35750,36650,35400,35500,1749428,17.42,19.49,16.64,16.64,0.0,0.00734556462005926,-0.0029911683196675977,-0.025049019599161868,0.005649732542119128,0.021993310721738924,0.020840439610728873,0.027364135921418606,0.028602950326927917,0.032802741321372696,0.007107350458652018,-0.02305644752195273,-0.1400969748,-0.030624106081,-0.08970773445,-0.003360256,0.026842885438360053
2026-07-23,-0.133483005691,0.118452013104,38,0,-0.08970773445,-0.003360256,6,0,36100,37175,35550,37150,2251715,17.67,20.31,17.32,18.7,0.0,0.04307234024240879,0.05086182824828499,-0.028547114629072542,0.045431074682398,0.026162921521728062,0.026842885438360053,0.021993310721738924,0.027364135921418606,0.028602950326927917,0.005649732542119128,-0.025049019599161868,-0.133483005691,0.118452013104,-0.0705941839737,0.0672750416632,0.02159927301555884
2026-07-24,-0.117766538647,0.0738758052476,17,0,-0.0705941839737,0.0672750416632,19,0,36450,36800,35500,36200,1679130,18.96,19.05,17.41,18.58,0.0,-0.05895011443460119,-0.05469026066778427,-0.022752537017355155,-0.025904652332042782,0.02905933208012377,0.02159927301555884,0.026162921521728062,0.021993310721738924,0.027364135921418606,0.045431074682398,-0.028547114629072542,-0.117766538647,0.0738758052476,-0.283339421481,-0.111116026141,0.027023672277885314
